Country_ISO,Slope,Intercept,R2,P_value,class
PAK,0.0024146651161178986,0.038038479965343854,0.9937629331244934,1.5741185282487533e-23,bvmeat
PAN,4.468860324359638e-05,0.004623065858235648,0.2595561518117277,0.015440187364649898,bvmeat
PER,2.605943706852196e-05,0.0010264044758407284,0.9238991957804765,1.1897789395254331e-12,bvmeat
PHL,-0.00016118425417355122,0.020300996486819822,0.1301040206772737,0.09912023295411923,bvmeat
PNG,-1.3429423406895145e-05,0.0015254272572260944,0.5015127339863895,0.0002261901468380097,bvmeat
POL,0.0007343261599808639,0.016434934556084253,0.9447918381998169,4.7557249993465756e-14,bvmeat
PRI,-0.00032823162849299914,0.01605130644040846,0.8734023176543019,1.9807468182107375e-10,bvmeat
PRK,-0.0006367901820604476,0.021169315537995524,0.17529068006196843,0.05246427540246578,bvmeat
PRT,-0.00023932886941921498,0.011824407589749304,0.8938303071149242,3.373337361539507e-11,bvmeat
PRY,8.725083392138131e-05,0.0015180125687988188,0.885688369169676,7.091651543581263e-11,bvmeat
PYF,0.0002654037656606622,0.0009940197799169423,0.6593568822122051,4.464047605459718e-06,bvmeat
QAT,0.00045293016031620306,0.00991006599304348,0.7041898474145986,1.0576038743773052e-06,bvmeat
REU,-0.00010237357943177856,0.024558001530612234,0.08683963810263803,0.5211619400327292,bvmeat
ROU,-8.417542455846004e-05,0.006591197119402944,0.47533587824496004,0.00038599614944454387,bvmeat
RUS,-2.280272817014851e-05,0.002275218549890569,0.2941611171907788,0.009113480304130402,bvmeat
RWA,0.0004686864349486654,0.005106648029795647,0.9458941819627468,3.885030151082625e-14,bvmeat
SAU,3.7211629648386964e-06,5.104707812477816e-05,0.8524937205672224,9.234236660026246e-10,bvmeat
SDN,6.8319122294715136e-06,0.0006456762665684199,0.736387311524805,0.0014880563012952344,bvmeat
SEN,6.609584321750232e-05,0.0010084018819100618,0.92578844172774,9.244610837579588e-13,bvmeat
SGP,,,,,bvmeat
SLB,1.9655270030684804e-06,0.007914100743624888,0.0006678699469225453,0.9091123340549468,bvmeat
SLE,2.9823967747036704e-05,0.0002176398014854873,0.8021694411412822,1.7866867236902513e-08,bvmeat
SLV,-0.00022279033671700492,0.009251957435923188,0.8005865698971965,1.936605808128773e-08,bvmeat
SOM,-1.2564670156111246e-06,0.0003253525248130486,0.2944688476827495,0.009070103116260914,bvmeat
SRB,-8.011498887813092e-05,0.02109026295315694,0.09629357774492359,0.2421135835847969,bvmeat
SSD,2.3369871618501813e-05,0.00045928520529516014,0.9201421058038588,1.1494667909684618e-05,bvmeat
STP,0.00048445466037166034,0.007346499762080421,0.5641347020696873,5.6187183119646666e-05,bvmeat
SUR,3.1665722093573916e-05,0.0076033985463773,0.04238201997999999,0.35801930509162017,bvmeat
SVK,-0.0001787330786977609,0.009648787229170275,0.6822093178795532,2.196138386886078e-06,bvmeat
SVN,-0.0002966693930421706,0.018277210708336267,0.5944477074161398,2.6716529176438928e-05,bvmeat
