Item_Code,Country_ISO,fp_m2_kg,fp_kg_m2,fp_m2,fp_kg
882.0,BWA,103.6563745510044,0.009647260039062501,2402295564.353021,23175570.0
882.0,BRA,4.590870578411591,0.21782360947016566,166366529496.71848,36238557950.0
882.0,BLZ,9.00169714587035,0.11109016264324816,51659839.75043537,5738900.000000001
882.0,SLB,3.4453424652149027,0.2902469087169902,10532825.357257783,3057120.0
882.0,BRN,0.24230511174568586,4.127028079579111,10065.35434191579,41540.0
882.0,BGR,8.312734108601607,0.1202973638920135,6947617412.051097,835780059.9999999
882.0,MMR,0.7903024169394028,1.265338405357143,632241878.2303531,799999930.0
882.0,BDI,7.934619283354795,0.12602999139452034,427001457.38754547,53814990.0
882.0,CMR,5.097493253212317,0.19617485503680152,937566641.5835819,183927000.00000003
882.0,CAN,3.965280286487089,0.2521889823041784,38888455317.88923,9807239970.0
882.0,CPV,6.7984249033731885,0.1470928949297988,31090080.878363036,4573130.000000001
882.0,CAF,7.551297320755219,0.1324275760208033,612357731.196869,81093050.0
882.0,LKA,2.9087688072950724,0.3437880650713942,1274418906.627878,438130009.99999994
882.0,TCD,18.022661484162764,0.055485700648527425,4447301144.543608,246761620.0
882.0,CHL,8.590692335111319,0.11640505339864927,20072513450.06567,2336542000.0
882.0,CHN,10.008528904107292,0.09991478363914409,368584094451.9858,36827000050.00001
882.0,COL,11.070050496395323,0.09033382461314193,77409209008.32414,6992669910.0
882.0,COM,3.2979350900466584,0.30322003699164746,42946865.019869104,13022350.0
882.0,COG,430.67735574617507,0.002321923794362112,1930373430.3783906,4482179.999999999
882.0,CRI,2.547917925120412,0.39247732045871964,3063732494.388735,1202445520.0
882.0,CUB,7.761771108622054,0.1288365742825325,2904454127.904684,374199920.0
882.0,CYP,0.04142650085231703,24.139137494738925,12350895.721314773,298139970.0
882.0,AZE,2.606066410090413,0.3837200756389423,5701504922.193783,2187781900.0
882.0,BEN,4.126309146520985,0.24234732893029357,432839101.0662704,104897400.00000001
882.0,DNK,0.7200772078639703,1.3887399699351544,4064115732.3811603,5643999960.0
882.0,DMA,0.9443023977588851,1.0589828029382347,6611608.782100655,7001580.0
882.0,DOM,3.9832686360511107,0.2510501026592495,3431844364.427139,861564880.0
882.0,BLR,1.8127979576503743,0.5516334546714362,14159764919.718992,7811000040.0
882.0,ECU,2.9415220471172563,0.3399600560465007,6309564761.651294,2144999989.9999998
882.0,EGY,0.1679684582499194,5.953498712907783,805240785.4907444,4793999979.999999
882.0,SLV,5.184768770633564,0.19287263217291037,2175269634.0239363,419549980.0
882.0,EST,3.82837503164146,0.2612074291925466,3210857985.9026914,838699960.0
882.0,FRO,41.728259550813924,0.023964574865200546,323935644.3277775,7762980.000000001
882.0,FJI,11.995625523638294,0.08336372271953837,136737175.69391102,11398920.0
882.0,FIN,1.5089767991421739,0.6627007125414268,3493055018.943101,2314850050.0
882.0,FRA,1.6363216096080568,0.611126806691459,40516337589.656654,24760620009.999996
882.0,PYF,2.747887143116447,0.36391596449113084,2154618.3089176062,784100.0
882.0,DJI,50.93284080030717,0.01963369771422546,459408621.4062826,9019890.0
882.0,GEO,13.588396838480952,0.07359219868881825,8079917309.093084,594618880.0
882.0,GAB,249.63134637279762,0.004005907168832104,2662899950.102936,10667330.000000002
882.0,GMB,13.753943533970448,0.07270642034629053,674688009.2069163,49054149.99999999
882.0,DEU,1.0749017375731877,0.9303175955950226,34941734031.386215,32506909990.0
882.0,BIH,11.290825645879277,0.0885674822518371,6091513005.48356,539509970.0
882.0,GHA,24.069672751827245,0.041546057161250156,1181029521.2746375,49067119.99999999
882.0,GRC,6.128396750697422,0.1631748140141544,4356861285.82522,710930029.9999999
882.0,GRD,0.7386158227792293,1.3538838042180663,467698.9251420357,633209.9999999999
882.0,GTM,2.0520209749451026,0.4873244534095237,1204423307.497685,586944930.0
882.0,GIN,33.422981012285334,0.029919533497997336,7375450222.670436,220670030.00000003
882.0,GUY,36.305717420251796,0.02754387107751208,1996811553.6564555,54999920.00000001
882.0,HTI,3.4024949395127435,0.29390198009911095,161474516.04101512,47457679.99999999
882.0,HND,6.74603752532632,0.1482351671252567,4683474262.307564,694255590.0
