file,region,iso3,n,slope,intercept,r_squared,p_value,std_err,current_year,current_yield_kg_per_m2,class
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Europe,SRB,114,0.3574917833242803,-7.485348845575102,0.12985132201158509,8.208603457526687e-05,0.08744411718549222,2021,0.0328107459659659,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Southern Europe,SVN,114,0.3574917833242803,-7.485348845575102,0.12985132201158509,8.208603457526687e-05,0.08744411718549222,2021,0.0226230509377132,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,BFA,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0041323566787315,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,BWA,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0004502054684895,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,CMR,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.009154826568384,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,COD,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0002467134025782,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,GHA,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0017622362811383,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,KEN,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0034609555429279,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,LSO,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0005177867225158,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,MDG,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0001848659934956,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,MOZ,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,7.771356274282073e-05,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,MRT,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0003129574512134,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,MUS,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0210899883391637,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,NAM,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0001994825410464,sgmeat
pasture_fp_kg_m2_by_country_year_Horse_Meat,Sub-Saharan Africa,NER,202,0.33856084779998696,-9.08225664519454,0.04992517898578183,0.0013911868247705188,0.10443373841339541,2021,0.0006720926380304,sgmeat
